NCBI ID	Species
JQ240425.1	Plasmodium vivax
JQ240424.1	Plasmodium vivax
JQ240423.1	Plasmodium vivax
JQ240429.1	Plasmodium vivax
AY598043.1	Plasmodium vivax
AY598044.1	Plasmodium vivax
AY598045.1	Plasmodium vivax
AY598060.1	Plasmodium vivax
AY598059.1	Plasmodium vivax
AY598058.1	Plasmodium vivax
AY598057.1	Plasmodium vivax
AY598056.1	Plasmodium vivax
AY598055.1	Plasmodium vivax
AY598054.1	Plasmodium vivax
AY598053.1	Plasmodium vivax
AY598052.1	Plasmodium vivax
AY598051.1	Plasmodium vivax
AY598050.1	Plasmodium vivax
AY598049.1	Plasmodium vivax
AY598048.1	Plasmodium vivax
AY598047.1	Plasmodium vivax
AY598046.1	Plasmodium vivax
AY598097.1	Plasmodium vivax
AY598098.1	Plasmodium vivax
AY598095.1	Plasmodium vivax
AY598100.1	Plasmodium vivax
KY923304.1	Plasmodium vivax
KY923303.1	Plasmodium vivax
KY923302.1	Plasmodium vivax
KY923301.1	Plasmodium vivax
KY923300.1	Plasmodium vivax
KY923299.1	Plasmodium vivax
KY923298.1	Plasmodium vivax
DQ396549.1	Plasmodium vivax
DQ396548.1	Plasmodium vivax
DQ396547.1	Plasmodium vivax
AY598140.1	Plasmodium vivax
AY598139.1	Plasmodium vivax
AY598138.1	Plasmodium vivax
AY598137.1	Plasmodium vivax
AY598136.1	Plasmodium vivax
KY923305.1	Plasmodium vivax
KY923306.1	Plasmodium vivax
KY923307.1	Plasmodium vivax
KY923308.1	Plasmodium vivax
KY923324.1	Plasmodium vivax
KY923323.1	Plasmodium vivax
KY923322.1	Plasmodium vivax
KY923321.1	Plasmodium vivax
KY923320.1	Plasmodium vivax
KY923319.1	Plasmodium vivax
KY923318.1	Plasmodium vivax
AY598135.1	Plasmodium vivax
KY923317.1	Plasmodium vivax
KY923315.1	Plasmodium vivax
KY923314.1	Plasmodium vivax
KY923313.1	Plasmodium vivax
KY923312.1	Plasmodium vivax
KY923311.1	Plasmodium vivax
KY923310.1	Plasmodium vivax
KY923309.1	Plasmodium vivax
KY923316.1	Plasmodium vivax
AY598099.1	Plasmodium vivax
AY598134.1	Plasmodium vivax
AY598132.1	Plasmodium vivax
AY598116.1	Plasmodium vivax
AY598115.1	Plasmodium vivax
AY598114.1	Plasmodium vivax
AY598113.1	Plasmodium vivax
AY598112.1	Plasmodium vivax
AY598111.1	Plasmodium vivax
AY598110.1	Plasmodium vivax
AY598117.1	Plasmodium vivax
AY598109.1	Plasmodium vivax
AY598107.1	Plasmodium vivax
AY598106.1	Plasmodium vivax
AY598105.1	Plasmodium vivax
AY598104.1	Plasmodium vivax
AY598103.1	Plasmodium vivax
AY598102.1	Plasmodium vivax
AY598101.1	Plasmodium vivax
AY598108.1	Plasmodium vivax
AY598133.1	Plasmodium vivax
AY598118.1	Plasmodium vivax
AY598120.1	Plasmodium vivax
AY598131.1	Plasmodium vivax
AY598130.1	Plasmodium vivax
AY598129.1	Plasmodium vivax
AY598128.1	Plasmodium vivax
AY598119.1	Plasmodium vivax
AY598126.1	Plasmodium vivax
AY598127.1	Plasmodium vivax
AY598124.1	Plasmodium vivax
AY598123.1	Plasmodium vivax
AY598122.1	Plasmodium vivax
AY598125.1	Plasmodium vivax
AY598121.1	Plasmodium vivax
NC_007243.1	Plasmodium vivax
AY722797.1	plasmodium knowlesi
NC_007232.1	plasmodium knowlesi
AB444106.1	plasmodium knowlesi
AB444107.1	plasmodium knowlesi
AB444108.1	plasmodium knowlesi
